submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
07/06/2022,TX,7156500,,,8844,2491,87198,,,20,0,07/07/2022 02:29:13 PM,Not agree,Not agree
03/20/2020,TX,175,,,67,0,9,,,3,0,03/22/2020 12:00:00 AM,Not agree,Not agree
05/17/2022,TX,6790676,,,3215,1035,86723,,,10,0,05/18/2022 01:45:25 PM,Not agree,Not agree
09/29/2021,TX,4035920,,,11819,2651,63626,,,381,0,09/30/2021 02:57:48 PM,Not agree,Not agree
12/19/2020,TX,1573888,,,17907,4102,28318,,,222,0,12/21/2020 12:00:00 AM,Not agree,Not agree
04/28/2020,TX,26171,,,874,0,940,,,34,0,04/30/2020 12:00:00 AM,Not agree,Not agree
11/29/2021,TX,4309721,,,2951,915,72529,,,148,0,11/30/2021 03:29:21 PM,Not agree,Not agree
05/17/2020,TX,47784,,,785,0,1559,,,25,0,05/19/2020 12:00:00 AM,Not agree,Not agree
02/09/2021,TX,2504556,,,13329,2676,43306,,,207,0,02/11/2021 12:00:00 AM,Not agree,Not agree
06/21/2021,TX,2975787,,,86,41,51333,,,19,0,06/23/2021 12:00:00 AM,Not agree,Not agree
09/15/2020,TX,668746,,,5342,0,15969,,,70,0,09/17/2020 12:00:00 AM,Not agree,Not agree
03/17/2020,TX,63,,,7,0,4,,,2,0,03/19/2020 12:00:00 AM,Not agree,Not agree
06/07/2022,TX,6903403,,,5565,1800,86862,,,13,0,06/08/2022 01:25:49 PM,Not agree,Not agree
02/18/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/02/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
01/24/2021,TX,2240526,,,11565,1389,39144,,,329,0,01/26/2021 12:00:00 AM,Not agree,Not agree
06/03/2020,TX,68271,,,1703,0,1998,,,31,0,06/05/2020 12:00:00 AM,Not agree,Not agree
06/21/2022,TX,7004422,,,18761,6204,86981,,,10,0,06/22/2022 01:43:28 PM,Not agree,Not agree
05/26/2021,TX,2938914,,,2181,469,50808,,,32,0,05/28/2021 12:00:00 AM,Not agree,Not agree
03/05/2021,TX,2678295,,,6853,1790,46960,,,102,0,03/07/2021 12:00:00 AM,Not agree,Not agree
05/11/2022,TX,6769833,,,3084,957,86673,,,27,0,05/12/2022 01:16:14 PM,Not agree,Not agree
11/30/2021,TX,4316162,,,6276,1727,72607,,,78,0,12/01/2021 03:57:34 PM,Not agree,Not agree
08/25/2021,TX,3496374,,,24115,5289,54455,,,233,0,08/26/2021 02:58:37 PM,Not agree,Not agree
03/03/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
09/01/2021,TX,3611990,,,21511,4478,55955,,,320,0,09/02/2021 01:49:05 PM,Not agree,Not agree
01/05/2021,TX,1843153,,,31630,3775,32779,,,326,0,01/07/2021 12:00:00 AM,Not agree,Not agree
04/14/2021,TX,2830142,,,3336,927,49321,,,46,0,04/16/2021 12:00:00 AM,Not agree,Not agree
02/25/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
02/19/2021,TX,2577131,,,2937,667,45153,,,199,0,02/21/2021 12:00:00 AM,Not agree,Not agree
10/27/2020,TX,874367,,,7292,0,18978,,,122,0,10/29/2020 12:00:00 AM,Not agree,Not agree
06/11/2021,TX,2965966,,,1463,355,51158,,,17,0,06/13/2021 12:00:00 AM,Not agree,Not agree
06/04/2021,TX,2950622,,,2762,897,51024,,,27,0,06/06/2021 12:00:00 AM,Not agree,Not agree
04/09/2021,TX,2812899,,,3402,938,49104,,,44,0,04/11/2021 12:00:00 AM,Not agree,Not agree
08/01/2020,TX,430485,,,9539,0,10159,,,209,0,08/03/2020 12:00:00 AM,Not agree,Not agree
06/19/2021,TX,2975175,,,2004,517,51294,,,20,0,06/21/2021 12:00:00 AM,Not agree,Not agree
01/05/2022,TX,4847637,,,48945,9002,74888,,,92,0,01/06/2022 02:32:45 PM,Not agree,Not agree
04/20/2021,TX,2848820,,,6057,2110,49561,,,40,0,04/22/2021 12:00:00 AM,Not agree,Not agree
08/21/2021,TX,3433281,,,21787,3063,53928,,,190,0,08/23/2021 12:48:27 PM,Not agree,Not agree
12/12/2020,TX,1464374,,,16372,2672,26767,,,228,0,12/14/2020 12:00:00 AM,Not agree,Not agree
01/20/2021,TX,2166283,,,31255,5320,37876,,,338,0,01/22/2021 12:00:00 AM,Not agree,Not agree
05/16/2021,TX,2919889,,,650,226,50487,,,26,0,05/18/2021 12:00:00 AM,Not agree,Not agree
06/16/2021,TX,2970470,,,1433,422,51250,,,19,0,06/18/2021 12:00:00 AM,Not agree,Not agree
02/13/2021,TX,2553127,,,11282,2379,44095,,,193,0,02/15/2021 12:00:00 AM,Not agree,Not agree
12/09/2021,TX,4359697,,,4101,979,73227,,,80,0,12/10/2021 02:19:59 PM,Not agree,Not agree
05/03/2020,TX,31548,,,1026,0,1107,,,35,0,05/05/2020 12:00:00 AM,Not agree,Not agree
04/30/2021,TX,2883227,,,3515,876,49945,,,32,0,05/02/2021 12:00:00 AM,Not agree,Not agree
02/08/2022,TX,6395334,,,11753,2952,79711,,,282,0,02/09/2022 02:50:57 PM,Not agree,Not agree
05/10/2021,TX,2905863,,,753,99,50292,,,34,0,05/12/2021 12:00:00 AM,Not agree,Not agree
03/21/2021,TX,2745161,,,1982,233,48232,,,57,0,03/23/2021 12:00:00 AM,Not agree,Not agree
08/13/2021,TX,3292180,,,13614,3021,52931,,,144,0,08/14/2021 02:46:52 PM,Not agree,Not agree
08/11/2021,TX,3263283,,,17898,3684,52667,,,112,0,08/12/2021 03:05:21 PM,Not agree,Not agree
12/02/2021,TX,4324851,,,5069,1222,72808,,,101,0,12/03/2021 03:05:46 PM,Not agree,Not agree
07/28/2021,TX,3088316,,,12880,2811,51949,,,59,0,07/29/2021 01:49:46 PM,Not agree,Not agree
12/27/2020,TX,1668597,,,8046,1526,30206,,,258,0,12/29/2020 12:00:00 AM,Not agree,Not agree
12/05/2020,TX,1364933,,,14391,2453,25249,,,192,0,12/07/2020 12:00:00 AM,Not agree,Not agree
05/01/2021,TX,2886713,,,3486,863,49980,,,35,0,05/03/2021 12:00:00 AM,Not agree,Not agree
09/04/2021,TX,3678922,,,17144,3248,56903,,,305,0,09/06/2021 01:20:57 PM,Not agree,Not agree
05/13/2022,TX,6779929,,,3699,1248,86701,,,14,0,05/14/2022 01:28:26 PM,Not agree,Not agree
11/30/2020,TX,1278432,,,11725,887,24255,,,186,0,12/02/2020 12:00:00 AM,Not agree,Not agree
05/08/2021,TX,2903694,,,2190,539,50229,,,31,0,05/10/2021 12:00:00 AM,Not agree,Not agree
10/12/2020,TX,795126,,,2648,0,17670,,,71,0,10/14/2020 12:00:00 AM,Not agree,Not agree
07/14/2022,TX,7254241,,,14042,3415,87334,,,13,0,07/15/2022 01:16:22 PM,Not agree,Not agree
05/03/2022,TX,6746102,,,2202,782,86579,,,12,0,05/04/2022 01:36:27 PM,Not agree,Not agree
03/08/2022,TX,6578556,,,4989,3414,84513,,,95,0,03/09/2022 02:28:56 PM,Not agree,Not agree
03/26/2020,TX,1394,,,419,0,37,,,11,0,03/28/2020 12:00:00 AM,Not agree,Not agree
04/11/2022,TX,6693738,,,1208,499,86241,,,0,0,04/12/2022 01:55:12 PM,Not agree,Not agree
08/05/2021,TX,3180107,,,13895,2737,52297,,,76,0,08/06/2021 02:53:58 PM,Not agree,Not agree
04/05/2022,TX,6679357,,,2399,1074,86096,,,21,0,04/06/2022 01:55:45 PM,Not agree,Not agree
11/18/2020,TX,1140860,,,10987,2115,22119,,,159,0,11/20/2020 12:00:00 AM,Not agree,Not agree
01/30/2020,TX,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
05/07/2022,TX,6759528,,,3173,839,86635,,,16,0,05/09/2022 01:14:40 PM,Not agree,Not agree
10/08/2021,TX,4113124,,,8431,2391,66057,,,367,0,10/09/2021 01:32:02 PM,Not agree,Not agree
11/03/2020,TX,988450,,,10665,2367,19861,,,141,0,11/05/2020 12:00:00 AM,Not agree,Not agree
10/30/2021,TX,4221582,,,3770,1007,69922,,,76,0,11/01/2021 12:51:18 PM,Not agree,Not agree
